"","arrayId","source","sampleName","arrayType","tumorType","location","conversion"
"59","9933448070_R02C02","Chan","WT_mk49","Illumina_450K","PanNET","primary",1.27423260523392
"60","9933448070_R03C02","Chan","WT_mk50","Illumina_450K","PanNET","primary",1.26860823656913
"61","9934398010_R01C01","Chan","WT_mk8","Illumina_450K","PanNET","primary",1.32242796020092
"62","200069280190_R01C01","DiDomenico","UB01",NA,"PanNET","primary",0.674931209946689
"63","200069280190_R02C01","DiDomenico","UB02",NA,"PanNET","primary",1.21074675802856
"64","200069280190_R03C01","DiDomenico","UB04",NA,"PanNET","primary",0.944145500002751
"65","200069280190_R04C01","DiDomenico","UB06",NA,"PanNET","primary",1.17564973902092
"66","200071610011_R01C01","DiDomenico","UB07",NA,"PanNET","primary",1.13083038190277
"67","200071610011_R02C01","DiDomenico","UB08",NA,"PanNET","primary",1.09085635186302
"68","200069280190_R05C01","DiDomenico","UB09",NA,"PanNET","primary",1.11241985581657
"69","200069280190_R06C01","DiDomenico","UB10",NA,"PanNET","primary",0.938075191600524
"70","200069280233_R03C01","DiDomenico","UB11",NA,"PanNET","primary",1.01663549692872
"71","200069280190_R01C02","DiDomenico","UB12",NA,"PanNET","primary",0.955648522990389
"72","200069280190_R02C02","DiDomenico","UB13",NA,"PanNET","primary",1.2553150910957
"73","200069280190_R03C02","DiDomenico","UB14",NA,"PanNET","primary",1.2346645174733
"74","200069280190_R04C02","DiDomenico","UB15",NA,"PanNET","primary",1.10207628210314
"75","200069280190_R05C02","DiDomenico","UB17",NA,"PanNET","primary",1.28802085692258
"76","200069280190_R06C02","DiDomenico","UB18",NA,"PanNET","primary",1.03094555024421
"77","200071610011_R04C01","DiDomenico","UB19",NA,"PanNET","primary",1.18336331355592
"78","200069280233_R04C01","DiDomenico","UB20",NA,"PanNET","primary",1.17317675378734
"79","200069280233_R05C01","DiDomenico","UB21",NA,"PanNET","primary",1.2692650274795
"80","200071610011_R05C01","DiDomenico","UB22",NA,"PanNET","primary",1.0322060900509
"81","200071610011_R02C02","DiDomenico","UB27",NA,"PanNET","primary",1.21872313094287
"82","200071610011_R03C02","DiDomenico","UB28",NA,"PanNET","primary",1.14455171420182
"83","200069280233_R02C02","DiDomenico","UB31",NA,"PanNET","primary",1.03216427812505
"84","200069280233_R03C02","DiDomenico","UB32",NA,"PanNET","primary",1.12518539860745
"85","200069280233_R04C02","DiDomenico","UB33",NA,"PanNET","primary",1.21553264826709
"86","3998426105_R01C01","DiDomenico","UB37",NA,"PanNET","primary",0.957260671057486
"87","3998426105_R02C01","DiDomenico","UB38",NA,"PanNET","primary",1.14249558597742
"88","3998426105_R05C02","DiDomenico","UB47",NA,"PanNET","primary",0.977945966420118
"89","7990895052_R02C01","DiDomenico","UCL06",NA,"PanNET","primary",1.04563754853542
"90","7990895053_R06C01","DiDomenico","UCL10",NA,"PanNET","primary",1.19452630145511
"91","7990895053_R02C01","DiDomenico","UCL22",NA,"PanNET","primary",1.13225079753317
"92","7990895052_R01C02","DiDomenico","UCL24",NA,"PanNET","primary",1.08410795673075
"93","9305651119_R01C02","DiDomenico","UCL27",NA,"PanNET","primary",0.898322948346776
"94","7990895052_R06C01","DiDomenico","UCL32",NA,"PanNET","primary",0.975519108683782
"95","9305651134_R01C01","DiDomenico","UCL34",NA,"PanNET","primary",1.10883523532237
"96","9305651096_R04C01","DiDomenico","UCL37",NA,"PanNET","primary",1.16469245969683
"97","9305651119_R06C02","DiDomenico","UCL43",NA,"PanNET","primary",1.09824019302854
"98","9305651134_R03C02","DiDomenico","UCL45",NA,"PanNET","primary",1.21775853227998
"99","9305651091_R05C02","DiDomenico","UCL46",NA,"PanNET","primary",1.19583213125187
"100","7990895052_R03C02","DiDomenico","UCL52",NA,"PanNET","primary",1.22274705407853
"101","9305651091_R01C01","DiDomenico","UCL56",NA,"PanNET","primary",1.07609521276763
"102","9305651134_R05C01","DiDomenico","UCL57",NA,"PanNET","primary",1.15562153990738
"103","9305651091_R05C01","DiDomenico","UCL62",NA,"PanNET","primary",1.21889541871462
"104","9305651119_R02C01","DiDomenico","UCL69",NA,"PanNET","primary",1.09299729710836
"105","9305651091_R02C01","DiDomenico","UCL70",NA,"PanNET","primary",1.04740469598434
"106","7990895053_R04C01","DiDomenico","UCL71",NA,"PanNET","primary",1.16027020768622
"107","9305651096_R06C02","DiDomenico","UCL72",NA,"PanNET","primary",0.929072094508148
"108","200071610011_R06C02","DiDomenico","UB36",NA,"normal","pancreas",1.15182298989566
"109","3998426105_R03C01","DiDomenico","UB39",NA,"normal","pancreas",0.947564928795507
"110","3998426105_R05C01","DiDomenico","UB41",NA,"normal","pancreas",0.910746888354193
"111","3998426105_R06C01","DiDomenico","UB42",NA,"normal","pancreas",0.895192862029821
"112","7990895027_R04C01","DiDomenico","UCL20",NA,"normal","pancreas",1.11738044751856
"113","9305651096_R05C01","DiDomenico","UCL36",NA,"normal","pancreas",1.1971312566805
"114","9305651096_R01C01","DiDomenico","UCL39",NA,"normal","pancreas",1.13071232809198
"115","9305651091_R06C02","DiDomenico","UCL47",NA,"normal","pancreas",0.777610015030842
"116","7990895027_R01C01","DiDomenico","UCL48",NA,"normal","pancreas",1.04827091989549
"117","9305651134_R06C01","DiDomenico","UCL58",NA,"normal","pancreas",0.804688863431549
"118","9305651091_R04C01","DiDomenico","UCL63",NA,"normal","pancreas",0.931866057857171
"119","9305651134_R02C01","DiDomenico","UCL65",NA,"normal","pancreas",1.20102673727731
"120","9305651091_R06C01","DiDomenico","UCL67",NA,"normal","pancreas",1.15420731508286
"121","9305651119_R01C01","DiDomenico","UCL73",NA,"normal","pancreas",1.16531682826988
"122","3999720012_R04C01","Endo","PIP04-05T","Illumina_450K","PDAC","primary",1.15590193424704
"123","3999720012_R04C02","Endo","PIP04-12T","Illumina_450K","PDAC","primary",1.17904544310139
"124","3999720011_R05C02","Endo","PK03-21T","Illumina_450K","PDAC","primary",1.12224531099761
"125","3999720011_R06C02","Endo","PK03-25T","Illumina_450K","PDAC","primary",1.10344323798867
"126","3999720043_R01C01","Endo","PK03-27T","Illumina_450K","PDAC","primary",1.15177049026837
"127","3999720043_R02C01","Endo","PK03-28T","Illumina_450K","PDAC","primary",1.19946290634002
"128","3999720043_R03C01","Endo","PK03-29T","Illumina_450K","PDAC","primary",1.18830039721457
"129","3999720010_R01C01","Endo","PK03-31T","Illumina_450K","PDAC","primary",1.21676954354061
"130","3999720010_R02C01","Endo","PK03-32T","Illumina_450K","PDAC","primary",1.2214981911275
"131","3999720010_R03C01","Endo","PK03-33T","Illumina_450K","PDAC","primary",1.19680340515808
"132","3999720010_R04C01","Endo","PK04-04T","Illumina_450K","PDAC","primary",1.13475801770895
"133","3999720010_R05C01","Endo","PK04-05T","Illumina_450K","PDAC","primary",1.11011025150499
"134","3999720010_R01C02","Endo","PK04-06T","Illumina_450K","PDAC","primary",1.25358830677185
"135","3999720010_R06C01","Endo","PK04-07T","Illumina_450K","PDAC","primary",1.13902151619202
"136","3999720010_R02C02","Endo","PK04-08T","Illumina_450K","PDAC","primary",1.24241453757377
"137","3999720010_R03C02","Endo","PK04-10T","Illumina_450K","PDAC","primary",1.22267149115832
"138","3999720010_R05C02","Endo","PK04-11T","Illumina_450K","PDAC","primary",1.13730897526089
"139","3999720010_R06C02","Endo","PK04-12T","Illumina_450K","PDAC","primary",1.14995489932898
"140","3999720031_R01C01","Endo","PK04-13T","Illumina_450K","PDAC","primary",1.11379242667186
"141","3999720031_R02C01","Endo","PK04-14T","Illumina_450K","PDAC","primary",1.15765381943592
"142","3999720043_R04C01","Endo","PK04-15T","Illumina_450K","PDAC","primary",1.18497084109627
"143","3999720043_R06C01","Endo","PK04-17T","Illumina_450K","PDAC","primary",1.10063678277573
"144","3999720012_R01C01","Endo","PK04-23T","Illumina_450K","PDAC","primary",1.2028974827542
"145","3999720012_R02C01","Endo","PK04-24T","Illumina_450K","PDAC","primary",1.25177239127415
"146","3999720012_R05C01","Endo","PK04-25T","Illumina_450K","PDAC","primary",1.10872983123519
"147","3999720043_R02C02","Endo","PK04-27T","Illumina_450K","PDAC","primary",1.17279898516134
"148","3999720001_R01C01","Endo","PK04-28T","Illumina_450K","PDAC","primary",1.25805819435515
"149","3999720012_R01C02","Endo","PK04-30T","Illumina_450K","PDAC","primary",1.25377173568284
"150","3999720012_R02C02","Endo","PK04-31T","Illumina_450K","PDAC","primary",1.2411888025905
"151","3999720043_R06C02","Endo","PK04-32T","Illumina_450K","PDAC","primary",1.17014378117239
"152","3999720012_R03C02","Endo","PK04-33T","Illumina_450K","PDAC","primary",1.23219243103988
"153","3999423004_R01C01","Endo","PK04-34T","Illumina_450K","PDAC","primary",1.17615918769382
"154","3999720012_R06C02","Endo","PK04-36T","Illumina_450K","PDAC","primary",1.08529081344678
"155","3999720050_R02C01","Endo","PK04-37T","Illumina_450K","PDAC","primary",1.2207908127803
"156","3999720044_R02C01","Endo","PK04-40T","Illumina_450K","PDAC","primary",1.18058147474358
"157","3999720031_R05C01","Endo","PK04-41T","Illumina_450K","PDAC","primary",1.19747508233857
"158","3999720044_R03C01","Endo","PK04-43T","Illumina_450K","PDAC","primary",1.18213325741255
"159","3999720010_R04C02","Endo","PK04-44T","Illumina_450K","PDAC","primary",1.16642289842553
"160","3999720012_R05C02","Endo","PK04-45T","Illumina_450K","PDAC","primary",1.16897378553735
