gene_symbol,statistic,dm,p.value,mean_pnet,mean_norm,pval_log
NFATC2,1.9402876100534845,0.00947487469885884,0.054326318784481416,0.03930909720950546,0.048783971908364296,1.2649897222762583
NFATC2IP,2.9381008207757215,0.0488737867330967,0.003854948730643721,0.11657514058521566,0.16544892731831237,2.4139813935265355
NFE2L1,2.6387599220247724,0.018652506409063976,0.009249941074824361,0.054051311113674644,0.07270381752273863,2.0338610338512524
NFIA,0.46417962811349006,0.002110225075398292,0.643229893823295,0.03460681378091001,0.03671703885630831,0.19163378014764587
NFIB,-1.0879114171867317,-0.01502146636275449,0.2784772773653213,0.10010436607762459,0.08508289971487011,0.555210235741426
NFIC,1.5859307167327534,0.007993339557786347,0.11497942897995227,0.05796812339889787,0.06596146295668423,0.9393798525127225
NFIL3,-1.7657998434280657,-0.01785766276149134,0.07957858371589153,0.06584847541304802,0.04799081265155664,1.0992037943910191
NFXL1,2.9461200198825748,0.014703025853640868,0.0037620738154566665,0.03699362150362774,0.051696647357268616,2.4245726874323688
NGF,-2.135260800230514,-0.06432061906651218,0.03445583114091691,0.28960901985465864,0.22528840078814646,1.4627372696047465
NHP2L1,1.4384371844889434,0.007053962558314718,0.1525104201295402,0.03387202477971643,0.040925987338031156,0.8167004825456575
NID1,-1.2291106722682477,-0.028036026894610412,0.22106318472263273,0.07945166710540946,0.05141564021079901,0.655483577652367
NID2,-3.371735289520698,-0.06518183988118412,9.6255875087275e-4,0.19256163716223706,0.12737979728105292,3.016572753350732
NINL,-1.7023531368649574,-0.027054342258687927,0.09087731154278214,0.11220213651681918,0.08514779425813124,1.0415445293377756
NIPAL4,-2.1312148023201423,-0.09084094573796903,0.03479364958756481,0.24034230975189444,0.1495013640139255,1.4585000146956202
NKAIN2,1.3267343520042367,0.007314650610135018,0.1867261809318595,0.06594462405271563,0.07325927466285065,0.7287947852266663
NKAIN3,-0.8423665321654146,-0.006090710588796885,0.40099935117193086,0.08033174067251884,0.07424103008372193,0.39685633007976306
NKAPL,-1.9479707904137549,-0.07973787866063206,0.05339089176331647,0.20479764033751727,0.12505976167688515,1.2725328252620922
NKD1,0.6331514294298963,0.005238541579053672,0.5276531349982587,0.05291667989513039,0.05815522147418407,0.27765147719958244
NKTR,2.014014279017059,0.012340256157327388,0.04589687157784169,0.043502507782202555,0.05584276393952994,1.3382169158305761
NKX1-2,1.4770717102777113,0.014100818994603574,0.14187079278509176,0.039748238542121055,0.05384905753672462,0.8481070043865812
NKX2-2,1.8405821809173275,0.0420854041442784,0.0677701992305859,0.11062967095258207,0.15271507509686041,1.1689612376207552
NKX2-3,-0.30317448570824246,-0.0043618108842011505,0.7622006031789073,0.08837818999926235,0.0840163791150612,0.11793071187824761
NKX2-4,-1.6055245978483494,-0.037331140645706515,0.11060003345460871,0.12927994709574284,0.09194880645003635,0.9562447416646862
NKX2-6,-2.0894709777300235,-0.045126900360604,0.03844914971122625,0.14055394217715256,0.0954270418165485,1.4151132600187435
NKX3-2,0.2654710481815596,0.0028834746328981753,0.7910316232428818,0.07137388772848213,0.0742573623613803,0.1018061542705153
NKX6-1,1.7446288891748687,0.007724637810647431,0.08321307082737993,0.044557388737063296,0.05228202654771072,1.0798084508444679
NKX6-2,0.3430978732317325,0.003899662505308113,0.7320322382580187,0.07943556179212684,0.08333522429743495,0.1354697924535431
NLGN1,2.24368214507714,0.01326309557135958,0.026400530683616294,0.05491548277322689,0.06817857834458645,1.5783873431813136
NLRC5,4.8892287958126515,0.05552557043455171,2.7031517380311533e-6,0.07792053394264738,0.13344610437719903,5.568129575041189
NMBR,-0.20359449686451236,-0.0027110513780529005,0.83896186688955,0.08446544380937324,0.08175439243132032,0.07625777859419829
NME6,1.4849143300332923,0.013045534161945281,0.13978307116259217,0.04085819575528431,0.05390372991722961,0.8545454219083067
NMUR1,-1.2695323245116374,-0.024899435339558157,0.2063279342071907,0.12076919458988039,0.09586975925032228,0.6854419700357467
NOL11,2.929038876246361,0.02019603934450663,0.003962430744843398,0.08565108078191742,0.10584712012642407,2.4020383152840212
NOL4,5.2791065345143355,0.039317750490732696,4.760902271745114e-7,0.050242645285982684,0.08956039577671536,6.322310733307559
